Par,r,p-value,Sig.
NO – NOX,0.9589,0.00e+00,✓
NO2 – NOX,0.9294,0.00e+00,✓
CO – NOX,0.8599,0.00e+00,✓
PM10 – PM25,0.8582,0.00e+00,✓
CO – NO2,0.8459,0.00e+00,✓
CO – NO,0.7988,0.00e+00,✓
NO – NO2,0.7876,0.00e+00,✓
NO2 – PM10,0.7052,0.00e+00,✓
NO2 – PM25,0.6504,0.00e+00,✓
NOX – PM10,0.6439,0.00e+00,✓
CO – PM10,0.5447,5.38e-237,✓
CO – PM25,0.5339,4.19e-226,✓
NO – PM10,0.5273,1.61e-219,✓
NOX – PM25,0.5123,3.01e-205,✓
PM25 – SO2,0.4707,2.90e-169,✓
PM10 – SO2,0.4611,1.26e-161,✓
O3 – PM25,0.4365,3.79e-143,✓
NO2 – SO2,0.4299,1.95e-138,✓
O3 – PM10,0.4062,1.90e-122,✓
NOX – SO2,0.3558,2.33e-92,✓
NO – PM25,0.354,2.13e-91,✓
CO – SO2,0.3102,1.61e-69,✓
NO – SO2,0.2683,7.77e-52,✓
NO – O3,-0.2424,2.41e-42,✓
NOX – O3,-0.1209,1.78e-11,✓
CO – O3,-0.0727,5.55e-05,✓
NO2 – O3,0.0417,2.08e-02,✓
O3 – SO2,-0.0313,8.32e-02,✗
