anio_mes,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2015-01,0.8465,24.4757,28.4567,52.9337,24.6892,53.9715,26.704,4.7238
2015-02,0.7964,23.5305,27.9614,51.4771,25.8703,50.9925,23.6761,4.5908
2015-03,0.6513,16.7152,23.3001,40.0035,26.5051,39.6902,19.75,3.1612
2015-04,0.6787,16.3829,25.9185,42.2989,36.9165,50.3574,27.7387,4.1208
2015-05,0.6973,15.4851,26.1106,41.5972,33.1516,37.9026,24.5399,2.6604
2015-06,0.6346,12.9779,23.9957,36.975,28.7305,38.8672,24.1419,4.6165
2015-07,0.6556,15.4526,24.1162,39.575,29.9125,37.0491,21.3029,3.0548
2015-08,0.5848,11.8292,21.8719,33.7034,31.0319,31.4179,17.7659,3.1181
2015-09,0.7168,15.4702,24.7406,40.2105,27.2,32.3475,19.7805,3.2686
2015-10,0.7208,20.1578,23.9309,44.074,23.4076,36.8279,18.8408,3.6637
2015-11,0.788,24.3551,28.0306,52.3926,21.8178,46.5364,24.628,8.7748
2015-12,1.0155,32.5309,34.966,67.4924,23.5434,63.23,34.1042,8.4552
2016-01,0.9336,32.2647,32.9918,65.26,23.8335,53.288,26.0236,5.7137
2016-02,0.7824,24.7059,35.6282,60.3308,33.8371,68.369,32.296,12.718
2016-03,0.6001,16.7719,25.5159,42.2894,31.9965,42.9501,20.4298,3.5456
2016-04,0.7149,18.8158,27.3853,46.2016,37.81,56.6641,27.7792,4.4345
2016-05,0.6823,13.6175,27.855,41.473,44.8792,50.8583,30.0045,3.4117
2016-06,0.552,11.1276,23.6421,34.7623,33.7317,32.424,19.5616,2.9997
2016-07,0.5329,11.7932,21.921,33.7104,30.7507,30.5081,17.1693,3.0141
2016-08,0.5451,12.238,21.7532,33.9903,30.0201,29.508,16.6045,2.8148
2016-09,0.5029,11.5112,19.8718,31.3762,25.7374,29.3975,15.9751,2.5633
2016-10,0.4846,13.8664,19.9063,33.7642,25.7164,31.9383,14.6631,3.7725
2016-11,0.6578,22.1367,25.5896,47.7274,20.1719,40.0583,23.0153,5.1187
2016-12,0.7085,23.2889,26.3795,49.6674,23.4017,47.4331,21.4568,4.6792
2017-01,0.8401,27.6915,34.392,62.0949,29.6396,63.3543,28.5661,7.8989
2017-02,0.6625,19.685,27.9072,47.5606,34.3066,56.8434,24.0866,4.5451
2017-03,0.6311,16.0567,25.6118,41.6591,32.8541,46.5475,23.0353,4.4769
2017-04,0.6034,13.8248,24.012,37.8245,40.4535,52.3791,26.8401,2.6811
2017-05,0.6365,11.348,25.9555,37.2972,46.78,55.7779,32.9423,4.2722
2017-06,0.4828,9.4447,20.4407,29.8787,34.742,33.7359,18.0381,3.1379
2017-07,0.5388,14.8307,23.4045,38.2258,25.1168,30.7594,18.5958,3.4746
2017-08,0.4025,10.3112,19.7918,30.0941,26.6149,28.6187,15.4374,3.4421
2017-09,0.4324,11.4274,20.1781,31.6093,22.8927,28.002,14.9499,2.9021
2017-10,0.4388,12.2829,20.7493,33.0299,26.5681,32.1572,15.2431,2.4635
2017-11,0.5788,22.2552,28.263,50.5142,25.5366,51.8109,23.2053,7.5721
2017-12,0.7422,28.3145,34.5974,62.9086,27.2734,65.7605,31.7164,8.821
2018-01,0.5267,23.5441,31.26,54.8043,26.3721,58.6327,29.2859,7.8372
2018-02,0.4493,18.817,26.392,45.2107,32.6119,51.7997,25.0931,5.2211
2018-03,0.4562,16.8466,25.4662,42.3094,34.5777,53.6337,25.7789,4.0984
2018-04,0.4179,13.4315,24.4148,37.845,40.4274,47.9393,25.7492,3.044
2018-05,0.3633,12.1642,22.6905,34.8495,37.6355,40.95,22.3188,5.104
2018-06,0.3371,10.3528,20.9709,31.2343,29.1216,32.3175,17.7411,3.3731
2018-07,0.3023,11.6167,20.5059,32.0265,30.942,39.3573,19.8269,3.3848
2018-08,0.3389,10.5774,20.3079,30.8163,27.9918,26.865,17.05,2.439
2018-09,0.3806,12.0759,21.3584,33.4252,27.0667,31.9345,19.7921,3.0959
2018-10,0.386,14.3947,20.5556,34.9419,21.967,28.485,15.8092,1.7381
2018-11,0.5651,23.2425,27.9649,51.1626,23.9819,45.3456,23.9243,3.1249
2018-12,0.6391,24.6667,31.3298,55.9603,25.5196,57.3719,31.1124,7.8232
2019-01,0.4954,19.755,26.2723,46.5564,27.8073,52.462,25.3716,5.1204
2019-02,0.4606,20.0071,23.6154,44.2033,28.0087,49.7468,21.5646,3.0978
