anio_mes,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2015-01,2.178096,1.606863,1.165041,1.421673,-0.928885,1.028664,0.996444,0.545306
2015-02,1.878697,1.451142,1.058567,1.282872,-0.7398,0.773956,0.435022,0.474642
2015-03,1.011576,0.328331,0.056534,0.189543,-0.638172,-0.192404,-0.292941,-0.284924
2015-04,1.175319,0.273585,0.619408,0.408274,1.02862,0.719654,1.188295,0.224924
2015-05,1.286473,0.125673,0.660703,0.341408,0.425886,-0.345246,0.595185,-0.551006
2015-06,0.911776,-0.287384,0.206066,-0.099045,-0.281901,-0.262771,0.521389,0.488297
2015-07,1.037273,0.120319,0.23197,0.148711,-0.092672,-0.418221,-0.005008,-0.341456
2015-08,0.61417,-0.476631,-0.250484,-0.410799,0.086537,-0.899695,-0.660826,-0.307824
2015-09,1.403006,0.123219,0.366196,0.209268,-0.526924,-0.820213,-0.287286,-0.227861
2015-10,1.42691,0.895494,0.192136,0.577424,-1.134061,-0.437134,-0.461521,-0.017939
2015-11,1.828499,1.586994,1.073443,1.370111,-1.388577,0.392954,0.61152,2.697657
2015-12,3.188045,2.933946,2.564335,2.808984,-1.11232,1.820276,2.368562,2.527849
2016-01,2.698608,2.89009,2.139944,2.596256,-1.065877,0.970224,0.870287,1.071254
2016-02,1.795033,1.644788,2.706687,2.126549,0.53563,2.259667,2.033293,4.792732
2016-03,0.705603,0.337672,0.532861,0.407368,0.240962,0.086321,-0.166895,-0.080687
2016-04,1.391651,0.674402,0.934724,0.780165,1.171663,1.258884,1.195804,0.391597
2016-05,1.196833,-0.182011,1.035694,0.329573,2.303393,0.762482,1.608411,-0.15183
2016-06,0.418156,-0.592219,0.130053,-0.309895,0.518756,-0.813672,-0.327873,-0.370731
2016-07,0.304014,-0.482562,-0.239929,-0.410132,0.041518,-0.977484,-0.771445,-0.36308
2016-08,0.376922,-0.409282,-0.276001,-0.38346,-0.075446,-1.062994,-0.876168,-0.468971
2016-09,0.124733,-0.529021,-0.680442,-0.63256,-0.761076,-1.072442,-0.992869,-0.602596
2016-10,0.015372,-0.141005,-0.673026,-0.405005,-0.764438,-0.8552,-1.236135,0.039868
2016-11,1.05042,1.221515,0.548705,0.92556,-1.652074,-0.160931,0.312499,0.755122
