anio_mes,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05
2015-01,1.0,0.99,0.6053,0.6437,0.5712,0.5049,0.5311,-0.3875,0.4781,0.6935,0.8389,0.9605,0.9709,0.7257,0.7298,0.7323,0.3336,-0.4333,-0.5355,-0.4697,-0.5189,-0.4213,0.8304,0.9368,0.9105,0.8251,0.7961,0.201,0.2013,-0.8034,0.0252,-0.7225,-0.5214,-0.6046,0.781,0.8742,0.7723,0.6005,0.4495,-0.1605,-0.5395,-0.8979,-0.9531,-0.8139,-0.7209,-0.4237,0.8404,0.8533,0.8018,0.5978,-0.1894,-0.295,-0.148,-0.9496,-0.8873,-0.9315,-0.8831,-0.6344,0.2631,0.8759,0.3849,0.1087,-0.5446,-0.7778,-0.7799,-0.946,-0.9137,-0.819,-0.8563,-0.8244,-0.3787,0.5273,0.3846,0.1651,-0.0974,-0.3088,-0.9254,-0.7606,-0.7867,-0.7597,-0.7525,-0.5816,-0.2998,0.8779,0.6479,-0.1493,-0.3277,-0.5745,-0.6111,-0.9041,-0.9103,-0.8062,-0.7907,-0.8552,0.6745,0.8303,0.8221,0.4054,-0.1084,-0.7622,-0.6337
2015-02,0.99,1.0,0.6505,0.593,0.5598,0.46,0.56,-0.3267,0.5262,0.7466,0.845,0.9441,0.9846,0.7089,0.7878,0.6987,0.2864,-0.3918,-0.4671,-0.3967,-0.4695,-0.3434,0.8404,0.9623,0.9066,0.8207,0.7905,0.1444,0.1309,-0.7741,0.0869,-0.6743,-0.4703,-0.5396,0.7888,0.856,0.7463,0.5702,0.3915,-0.2133,-0.5583,-0.8694,-0.9605,-0.781,-0.7107,-0.3767,0.8463,0.8233,0.7687,0.604,-0.2418,-0.3784,-0.2517,-0.929,-0.8672,-0.9061,-0.8657,-0.5957,0.2753,0.864,0.4282,0.1621,-0.5952,-0.8263,-0.8243,-0.9399,-0.8971,-0.7925,-0.8375,-0.7826,-0.3205,0.523,0.4233,0.1359,-0.1775,-0.3971,-0.9414,-0.7178,-0.7635,-0.7205,-0.7126,-0.5264,-0.2443,0.8837,0.6623,-0.0703,-0.3302,-0.6141,-0.6484,-0.8747,-0.8747,-0.7616,-0.7496,-0.8379,0.6224,0.8277,0.808,0.4095,-0.1158,-0.7935,-0.6753
2015-03,0.6053,0.6505,1.0,0.0614,0.5132,0.4464,0.8466,0.3913,0.8995,0.9498,0.4434,0.4047,0.5691,0.0184,0.5794,0.0977,-0.1734,0.1137,0.275,0.3685,0.3453,0.3443,0.6848,0.7078,0.2909,0.2038,0.2998,-0.2094,-0.3613,-0.2112,0.6664,0.0249,0.2669,0.2277,0.2193,0.19,0.0428,-0.2498,-0.3831,-0.6473,-0.8677,-0.3064,-0.641,-0.1103,-0.0883,0.3068,0.5374,0.1687,0.0801,0.2639,-0.8264,-0.7349,-0.6325,-0.3377,-0.225,-0.2866,-0.2053,0.1231,0.2441,0.3101,0.2719,-0.0846,-0.9181,-0.7038,-0.6452,-0.4213,-0.2583,-0.0828,-0.1791,-0.4419,-0.2006,0.0449,0.4569,-0.5403,-0.6911,-0.7161,-0.5937,0.0183,-0.0372,0.015,0.0294,0.1882,-0.1289,0.4064,0.5363,0.04,-0.5905,-0.6785,-0.723,-0.2231,-0.229,-0.0428,-0.0297,-0.1828,0.291,0.5011,0.2413,-0.1764,-0.3747,-0.572,-0.5262
2015-04,0.6437,0.593,0.0614,1.0,0.7158,0.4647,0.3593,-0.3447,0.1161,0.0489,0.4122,0.6836,0.5783,0.6766,0.6244,0.9727,0.924,-0.0798,-0.5211,-0.5424,-0.7674,-0.8265,0.1683,0.3597,0.7109,0.8509,0.8974,0.836,0.8719,-0.3781,-0.5418,-0.8794,-0.8903,-0.8691,0.3989,0.6633,0.5403,0.6346,0.7599,0.5818,0.1041,-0.8627,-0.7287,-0.8575,-0.8687,-0.8749,0.3125,0.6085,0.5252,0.1498,0.2895,0.4453,0.5394,-0.7115,-0.7889,-0.7403,-0.8212,-0.9283,-0.4359,0.4478,-0.3517,-0.3884,0.0153,-0.0886,-0.0799,-0.6633,-0.7231,-0.8562,-0.8569,-0.7589,-0.8051,0.0009,-0.3497,0.3341,0.3727,0.4052,-0.3659,-0.8767,-0.8482,-0.886,-0.8732,-0.9179,-0.806,0.5252,0.0133,-0.6933,0.0421,0.1956,0.1708,-0.7985,-0.79,-0.8338,-0.8845,-0.8304,0.3715,0.3996,0.6569,0.6006,0.3556,-0.1268,0.0544
2015-05,0.5712,0.5598,0.5132,0.7158,1.0,0.5502,0.8534,0.2079,0.668,0.4243,0.2441,0.4797,0.5315,0.2409,0.759,0.6414,0.6838,0.3973,0.048,0.066,-0.2136,-0.4112,0.2731,0.3831,0.4359,0.5326,0.6793,0.5675,0.4896,-0.129,0.0881,-0.4827,-0.3886,-0.3476,0.0862,0.3287,0.1524,0.1106,0.2158,0.2423,-0.3093,-0.5842,-0.7443,-0.4142,-0.4469,-0.3238,0.4103,0.2814,0.1352,0.0123,-0.4177,0.0154,0.1315,-0.4548,-0.4085,-0.4376,-0.5023,-0.4704,-0.4544,0.2657,-0.3762,-0.6794,-0.5536,-0.2662,-0.1714,-0.5633,-0.4481,-0.4882,-0.5488,-0.7676,-0.8138,-0.2746,-0.2305,-0.3938,-0.3085,-0.0184,-0.3357,-0.426,-0.4273,-0.4643,-0.4141,-0.4536,-0.7635,0.459,0.1349,-0.7238,-0.4243,-0.0499,-0.0899,-0.5083,-0.4604,-0.3779,-0.4955,-0.4721,0.4112,0.453,0.4632,0.0735,0.1097,-0.1812,0.0967
2015-06,0.5049,0.46,0.4464,0.4647,0.5502,1.0,0.5901,0.214,0.6102,0.4293,0.5855,0.5134,0.4,0.461,0.2902,0.3635,0.2912,0.189,0.0381,0.0275,-0.0485,-0.0962,0.4884,0.3847,0.4202,0.2685,0.5702,0.1141,0.2809,-0.1139,0.2687,-0.1646,-0.1151,-0.2879,0.3607,0.3984,0.3174,0.0635,-0.0414,-0.2199,-0.168,-0.3412,-0.5699,-0.3276,-0.208,-0.3017,0.1435,0.433,0.2134,-0.3442,-0.2365,-0.2115,-0.0675,-0.4308,-0.3918,-0.4397,-0.3444,-0.2791,0.1464,0.2321,-0.0575,-0.2742,-0.3516,-0.3593,-0.3154,-0.3621,-0.4031,-0.3246,-0.3209,-0.3648,-0.5142,-0.1283,-0.3023,-0.0835,-0.1125,-0.2345,-0.4126,-0.2875,-0.2902,-0.327,-0.3273,-0.3806,-0.3965,0.0967,-0.1291,-0.5768,-0.6589,-0.3787,-0.3749,-0.4221,-0.395,-0.3731,-0.3402,-0.3012,0.0973,0.0756,0.0485,-0.0974,-0.5641,-0.4511,-0.3235
2015-07,0.5311,0.56,0.8466,0.3593,0.8534,0.5901,1.0,0.5236,0.9429,0.7516,0.3024,0.3674,0.4977,0.0422,0.71,0.3082,0.2524,0.4702,0.372,0.424,0.2181,0.0901,0.4508,0.4982,0.2783,0.2813,0.4798,0.1578,0.0379,-0.0046,0.5182,-0.1023,0.0541,0.0603,0.0523,0.1496,-0.0385,-0.2295,-0.2453,-0.2538,-0.5924,-0.3564,-0.6926,-0.1487,-0.1773,0.067,0.389,0.111,-0.0553,-0.0275,-0.7601,-0.435,-0.3296,-0.2959,-0.2155,-0.2585,-0.2557,-0.0812,-0.1699,0.1576,-0.1474,-0.4989,-0.8354,-0.4683,-0.364,-0.4112,-0.2549,-0.1829,-0.2699,-0.5479,-0.5794,-0.3021,0.0011,-0.6328,-0.6507,-0.4467,-0.3967,-0.0837,-0.1255,-0.1182,-0.0803,-0.0452,-0.5043,0.3259,0.2216,-0.4286,-0.6403,-0.3706,-0.4073,-0.2698,-0.2304,-0.0879,-0.1559,-0.22,0.2314,0.3733,0.2195,-0.1835,-0.2223,-0.3534,-0.1743
2015-08,-0.3875,-0.3267,0.3913,-0.3447,0.2079,0.214,0.5236,1.0,0.5924,0.2354,-0.3407,-0.5096,-0.3884,-0.5763,0.0313,-0.458,-0.2181,0.8748,0.973,0.9659,0.8217,0.696,-0.2253,-0.293,-0.55,-0.5246,-0.248,-0.2073,-0.2938,0.7938,0.6284,0.7094,0.6741,0.7229,-0.5701,-0.6537,-0.7507,-0.8534,-0.8233,-0.3304,-0.1108,0.5404,0.1804,0.6363,0.5211,0.5077,-0.46,-0.6759,-0.8252,-0.6639,-0.6194,-0.3604,-0.4113,0.5957,0.6007,0.6145,0.6058,0.5937,-0.244,-0.6838,-0.3707,-0.4155,-0.3699,0.1429,0.2397,0.5177,0.6115,0.6411,0.5896,0.3686,-0.1037,-0.781,-0.3199,-0.7337,-0.6181,-0.3604,0.3946,0.7003,0.6513,0.6636,0.6778,0.5815,-0.0928,-0.5736,-0.4312,-0.1404,-0.3972,0.0072,0.0171,0.6163,0.658,0.7003,0.6637,0.612,-0.5832,-0.5026,-0.6692,-0.5628,-0.3145,0.2215,0.2075
2015-09,0.4781,0.5262,0.8995,0.1161,0.668,0.6102,0.9429,0.5924,1.0,0.8516,0.3935,0.3302,0.4731,0.027,0.6079,0.0877,-0.0269,0.4405,0.4743,0.5337,0.386,0.3341,0.5717,0.5435,0.2326,0.1272,0.3458,-0.1621,-0.2319,-0.0023,0.7453,0.1116,0.2856,0.2373,0.1355,0.1215,-0.0283,-0.3104,-0.4516,-0.529,-0.6415,-0.1837,-0.6095,0.0015,0.0067,0.2546,0.3862,0.1047,-0.0724,-0.0741,-0.8541,-0.6881,-0.5966,-0.2348,-0.1193,-0.1888,-0.1369,0.1163,0.1066,0.1655,0.0968,-0.2679,-0.9046,-0.6154,-0.5169,-0.346,-0.1942,-0.0449,-0.1252,-0.3593,-0.3173,-0.1938,0.1307,-0.6514,-0.7862,-0.7003,-0.4628,0.0809,0.0111,0.039,0.069,0.1366,-0.2119,0.2546,0.2491,-0.2084,-0.7688,-0.5969,-0.618,-0.17,-0.1232,0.0372,0.0018,-0.0851,0.143,0.3107,0.0796,-0.3211,-0.4795,-0.5162,-0.3799
2015-10,0.6935,0.7466,0.9498,0.0489,0.4243,0.4293,0.7516,0.2354,0.8516,1.0,0.6386,0.5518,0.7077,0.2015,0.5929,0.1218,-0.237,-0.0544,0.1395,0.2384,0.2215,0.3252,0.8464,0.839,0.4462,0.2725,0.34,-0.3402,-0.4241,-0.3871,0.681,-0.0397,0.2049,0.1241,0.4477,0.3699,0.2548,-0.0561,-0.3094,-0.71,-0.8096,-0.3656,-0.6946,-0.1927,-0.1386,0.2583,0.666,0.361,0.271,0.3679,-0.7475,-0.8313,-0.7243,-0.4697,-0.3503,-0.4185,-0.3229,0.056,0.4513,0.4919,0.5002,0.1458,-0.9245,-0.8577,-0.8098,-0.5418,-0.4117,-0.2007,-0.2756,-0.4027,-0.0925,0.2446,0.5348,-0.398,-0.7081,-0.8198,-0.7463,-0.0831,-0.1624,-0.0941,-0.0841,0.1308,0.0213,0.5284,0.6064,0.145,-0.6625,-0.8384,-0.8625,-0.3559,-0.3414,-0.1568,-0.1344,-0.2715,0.3338,0.5695,0.3167,-0.1618,-0.4982,-0.7797,-0.731
2015-11,0.8389,0.845,0.4434,0.4122,0.2441,0.5855,0.3024,-0.3407,0.3935,0.6386,1.0,0.9068,0.8606,0.8506,0.5022,0.5066,0.079,-0.4646,-0.4529,-0.4117,-0.4284,-0.1733,0.8801,0.8706,0.8732,0.6338,0.6815,-0.1418,0.0225,-0.7162,0.154,-0.4727,-0.3465,-0.5212,0.9452,0.8783,0.8453,0.6107,0.2741,-0.3754,-0.2761,-0.6573,-0.7735,-0.6752,-0.544,-0.3872,0.6432,0.8891,0.7878,0.3532,-0.0433,-0.4669,-0.356,-0.85,-0.8108,-0.8453,-0.7487,-0.4962,0.5931,0.808,0.618,0.4568,-0.3984,-0.8202,-0.8399,-0.776,-0.8439,-0.6936,-0.6826,-0.4192,-0.0977,0.5825,0.2847,0.3566,-0.0911,-0.4927,-0.9022,-0.6236,-0.6899,-0.6415,-0.658,-0.4824,0.0322,0.6438,0.4048,0.0293,-0.4509,-0.7393,-0.7253,-0.7945,-0.7727,-0.7186,-0.6494,-0.6919,0.3486,0.5236,0.5214,0.2784,-0.4839,-0.9227,-0.8718
